company,domain,source_url,gpt_score
Ready-Mix Concrete,lafarge.ca,https://www.lafarge.ca/en/concreteready-mix,YES
RMC Ready-Mix: Home,rmcreadymix.ca,https://www.rmcreadymix.ca/,YES
Canadian Ready Mix: Ready Mix Concrete In Hamilton| Home,readymixconcretedelivery.ca,https://www.readymixconcretedelivery.ca/,YES
The Miller Group | Ready Mix Concrete,millergroup.ca,https://www.millergroup.ca/products/ready-mix-concrete,YES
Cement and concrete in Canada,heidelbergmaterials.com,https://www.heidelbergmaterials.com/en/company/group-areas-and-countries/north-america/canada,YES
Cambridge Ready Mix,lafarge.ca,https://www.lafarge.ca/en/rife-road,YES
"Fenelon Falls, Ontario Ready-Mix Concrete Facility",thesunrockgroup.com,https://www.thesunrockgroup.com/locations/fenelon-falls/,YES
Top 10 Precast Concrete Companies in Canada - Knowledge,precastconcretemagnet.com,https://www.precastconcretemagnet.com/info/top-10-precast-concrete-companies-in-canada-77210759.html,YES
Concrete Batching Plant Jobs (with Salaries),ca.indeed.com,https://ca.indeed.com/q-concrete-batching-plant-jobs.html,NO
concrete plant operator jobs in canada,ca.indeed.com,https://ca.indeed.com/q-concrete-plant-operator-l-canada-jobs.html,NO
COMPANY,elkoncanada.ca,https://elkoncanada.ca/company/,YES
Concrete Batch Plant Operator - Cement Manufacturing in ...,jobbank.gc.ca,https://www.jobbank.gc.ca/marketreport/occupation/8954/geo0236,NO
READY-MIX CONCRETE BATCHING PLANTS,elkoncanada.ca,https://elkoncanada.ca/products/ready-mix-concrete-batching-plants/,YES
Precast Concrete Panels,lafarge.ca,https://www.lafarge.ca/en/precast-concrete,YES
Canadian Precast/Prestressed Concrete Institute,cpci.ca,https://www.cpci.ca/en,YES
Concast Pipe Inc - Precast Concrete Products - Home -,concastpipe.com,https://www.concastpipe.com/,YES
Precast Concrete Products Manufacturers Company in Ontario ...,actonprecast.com,https://actonprecast.com/,YES
Structural Precast,structuralprecast.com,https://structuralprecast.com/,YES
Canadian Precast Ltd.: Precast Concrete Solutions,cancast.ca,https://www.cancast.ca/,YES
Producer Members,cpci.ca,https://www.cpci.ca/en/members/producer,YES
Coldstream Concrete | Precast Concrete Company Ontario,coldstreamconcrete.com,https://coldstreamconcrete.com/,YES
